NAAM;Provincie;KML;Lat;Lon
Goirle;Noord-Brabant;<MultiGeometry><Polygon><coordinates>5.10982065780763,51.5393831709452 5.10888403250057,51.5363609889058 5.10005942926029,51.5314549804373 5.10506078043303,51.5281758870487 5.09814116671244,51.5249523788857 5.10094735440846,51.5205196985898 5.09502380924051,51.5172515970356 5.09844168308486,51.5153605960991 5.0960354896089,51.5099121860504 5.08818697800647,51.5112975035775 5.07299807515431,51.5028750358395 5.07691511527041,51.5007965134622 5.0627415491799,51.4928261082464 5.0692931914641,51.486835874056 5.06836799197218,51.4853347457668 5.0515803496596,51.487131954553 5.04879185054398,51.4719135297385 5.04974089570497,51.4711081452861 5.0457683144178,51.4711150239753 5.04314409376721,51.4751755283928 5.03788853339373,51.4793498403493 5.04021029775803,51.4865330869377 5.03315570238678,51.4871942675967 5.03204459268293,51.4857118445505 5.02227879229492,51.4817785731368 5.01652255663416,51.4754391539914 5.00833828684818,51.4732995806336 4.99935948717672,51.4792826280629 4.99917647999953,51.4820158731536 4.98799341994993,51.4830447236348 4.99294228494842,51.487623211498 4.99722855072007,51.4885384101923 4.99715896690186,51.4920496432121 4.99246651003383,51.4939455312371 4.9946430441171,51.4976506875312 4.98673989433436,51.49532926277 4.98630337481882,51.5012113125093 4.98864962195362,51.5035226139082 4.99229843915973,51.5122475973105 4.98249627221086,51.5140880534662 4.9845546755704,51.5178821129451 4.98086887106694,51.5186309229692 4.97759591537063,51.5216516169936 4.96906950019091,51.5210933653993 4.96257281979825,51.5258644087345 4.97413608376044,51.5398404071608 4.97546013698686,51.5401328614071 4.9876289345969,51.5400228167952 4.99484067018588,51.5381917996172 5.00156830840108,51.5374878216555 5.02059605083674,51.5389600064279 5.02738429176374,51.5339933555938 5.03048208677426,51.5295927199004 5.04213065736904,51.5309917985566 5.05227483391479,51.5297636471487 5.05170353602496,51.5350911658579 5.06032300032247,51.5378691528266 5.09092202073365,51.535042735843 5.09647462550349,51.5349668090625 5.10507591490077,51.5367441257328 5.10982065780763,51.5393831709452</coordinates></Polygon></MultiGeometry>;51,51227457;5,03307007
Gooise Meren;Noord-Holland;<MultiGeometry><Polygon><coordinates>5.13832440573679,52.3259017057198 5.13882263470725,52.3255185272041 5.14457800115763,52.3173932862825 5.15123821355284,52.3125313578073 5.14615792831657,52.312770148286 5.14637651907719,52.3093142428429 5.15223023869702,52.3118959130048 5.1596025573866,52.3082833698767 5.16366965144237,52.3053014238223 5.16841505012614,52.3041381603113 5.17761113450729,52.3044404178705 5.18438826411439,52.3072706012286 5.19385414693992,52.3088813719085 5.20266524193771,52.309017346264 5.20905907188293,52.3099610159375 5.22848852066529,52.3112539772012 5.23035156515483,52.3054295687392 5.22956078179146,52.3017238977129 5.2142373843834,52.2984851904532 5.21175959669474,52.3000952776494 5.19585526960503,52.2992502488724 5.19554819066281,52.2949387836783 5.18822400076013,52.2925506082581 5.1952952202294,52.2887227844909 5.19501982031417,52.2809231812934 5.184702894836,52.2780096854644 5.18838793404981,52.2747409332177 5.20111716499183,52.2681399470842 5.1831393286148,52.2639692044277 5.18035548304606,52.2641649120984 5.17433376828146,52.261901215519 5.16212890759795,52.2557958011672 5.13760939835889,52.2596039024686 5.13722579992647,52.2616194857416 5.1437985574875,52.269760197314 5.14371848064955,52.2738302274296 5.14129686766562,52.277445975738 5.14669794947782,52.281929805714 5.14163622605011,52.2823631128853 5.13440542461778,52.2778164190164 5.12558178020601,52.2787486564154 5.12271072833282,52.2813636785812 5.10464608508277,52.2853846663955 5.09856622435205,52.2908264911958 5.09935405062272,52.2928035064945 5.10603361346451,52.2946616208575 5.10741389862851,52.2976978533163 5.10197188863884,52.2978041956762 5.09677256162259,52.3004570399542 5.09625732728143,52.3068635446659 5.09884932870085,52.311130521717 5.09261494345105,52.3142166736308 5.07751453634933,52.3181771108167 5.07037596733934,52.3214017265457 5.06618323114788,52.3221978468255 5.06525952491971,52.3191815214947 5.06068866725143,52.3169370213912 5.05674186024702,52.3195994362409 5.06038973768035,52.3211638772045 5.06151363516401,52.3236747193137 5.049398494169,52.3269357141507 5.04608225655414,52.3267300174226 5.04032850393377,52.328912333893 5.03093656676929,52.3305448404939 5.02210103343988,52.3308710298543 5.0172733593478,52.3301867126565 5.01793291465061,52.3231923397644 5.01613374801951,52.3245121231569 5.01279392157949,52.3302074256746 5.01846261964967,52.3340744301325 5.0275411028559,52.3377362110753 5.03011369804303,52.334310257019 5.03661529549583,52.3335223442979 5.05531793250016,52.3377464443025 5.06018889652443,52.3377788965511 5.06773564692577,52.336374912872 5.07759533450439,52.3398012280133 5.09390313083279,52.338702011293 5.10663194419297,52.3315941178431 5.11017791722745,52.330233849289 5.12391916134764,52.3294100590054 5.12628554224595,52.3270826701316 5.13051211904484,52.3262335109128 5.13369975209502,52.3275435503865 5.13832440573679,52.3259017057198</coordinates></Polygon></MultiGeometry>;52,30168219;5,133797774
Gorinchem;Zuid-Holland;<MultiGeometry><Polygon><coordinates>4.99868465445247,51.8522772050992 4.99988679362513,51.8484516057368 4.99929639101274,51.8445998806678 5.01463212053193,51.842153799028 5.03141507388647,51.841084800493 5.02635183920194,51.8188567378616 5.02035838716964,51.8199579066334 5.00795290281713,51.8210353355021 5.00036397935522,51.8209333807057 4.98775699530009,51.8210593615731 4.96261576081374,51.8247642108238 4.936064187424,51.8283144974539 4.92698665113089,51.8283059611578 4.92486390217484,51.8397184114476 4.93014077400108,51.8401100873064 4.94272010821001,51.8447863639578 4.94031040939535,51.8585623958763 4.93839874854412,51.8636293586809 4.95732943611803,51.8594970748958 4.95930963343238,51.86288493365 4.97272872766138,51.8599315910141 4.98331868025753,51.857108249645 4.9812603638377,51.8518703050159 4.99634197993787,51.8492286227855 4.99868465445247,51.8522772050992</coordinates></Polygon></MultiGeometry>;51,83846017;4,977082818
Gouda;Zuid-Holland;<MultiGeometry><Polygon><coordinates>4.75099134577822,52.013898793061 4.75696099011487,52.0029483697664 4.7482513466457,52.0024511839748 4.73973931698444,52.0060719325677 4.72848207138534,52.0074014172982 4.72279266773368,52.0054820566906 4.7275698483303,52.0015828809696 4.71886135613641,51.9983695622966 4.71290967010951,51.9991413366072 4.70721713765832,52.0017622648207 4.69988106629517,51.9972318836899 4.68868457789694,51.9962580422576 4.68402134266415,51.9979576721869 4.68022952866338,51.9965415752901 4.67071701232071,52.0023261099379 4.66281030978387,52.0032458235055 4.65945462708482,52.0052876951846 4.6663874816922,52.0096452681077 4.66660662092272,52.012970634599 4.68112946634581,52.0203487868596 4.67038069569821,52.0228351973102 4.66727906348471,52.0250783354657 4.68666719070177,52.0303563908044 4.70603935516873,52.0401196975452 4.71611009235703,52.0382736886586 4.71987129523963,52.0352008173965 4.71984808205655,52.0264843762362 4.73440009955313,52.0250201506283 4.73678271942444,52.0227482232245 4.74369750472386,52.0226080690988 4.7460167223037,52.0169763878697 4.75099134577822,52.013898793061</coordinates></Polygon></MultiGeometry>;52,0153015;4,706203763
Grave;Noord-Brabant;<MultiGeometry><Polygon><coordinates>5.72974545275232,51.7728510476131 5.73555273851909,51.7690610313247 5.73942918917767,51.7645551982919 5.74784794763192,51.757599456565 5.75651332331852,51.7545523260424 5.76663497344125,51.7526054323166 5.7811146267549,51.7523059691695 5.79053439127245,51.7535090541904 5.79128264912808,51.7496833395828 5.78611144714047,51.7442900527498 5.79651188344171,51.7401699373878 5.79367644258379,51.7364582909476 5.79974900210093,51.7343656781394 5.79751624163965,51.7305223028807 5.79486985118264,51.7299893536656 5.79808044283824,51.721333046539 5.79244003993025,51.7205588385542 5.78240629510129,51.7197814879681 5.7687470667797,51.7234010557073 5.75724837467173,51.72178771895 5.75231474731275,51.7226121208395 5.74817198103253,51.71797872091 5.74347384562472,51.7213070755344 5.73298036218527,51.7231390316093 5.72911238101619,51.7199252034906 5.72199474814318,51.7232973667672 5.71313914416987,51.7264150764868 5.71136447967959,51.7295228913539 5.70609580514559,51.7321225444711 5.70791148730981,51.7365823494169 5.69811633084853,51.7385073136997 5.70137898359466,51.7444661631481 5.70349339188076,51.750472789867 5.69991106604351,51.7504686560872 5.70192396395125,51.7555288726346 5.69424151814599,51.7554882612209 5.69085824767701,51.7591306913377 5.69603590699031,51.7613397226607 5.70104794370381,51.7687471414513 5.71123002275884,51.775033862029 5.72045683800719,51.7749564313755 5.72974545275232,51.7728510476131</coordinates></Polygon></MultiGeometry>;51,74357272;5,743017716
Groningen;Groningen;<MultiGeometry><Polygon><coordinates>6.69536700223703,53.1211760279612 6.67540296441369,53.1176502661121 6.65190943597551,53.1111595564808 6.63705241846186,53.1082575893456 6.63596850291823,53.1133514901502 6.62803751963982,53.1158375534632 6.63079052328576,53.1192607345177 6.62764223113887,53.1227105211961 6.6219037521514,53.1261948141527 6.61905318279351,53.1315105015252 6.61078072545788,53.1379056978436 6.60655414224588,53.1392940610304 6.59998454851897,53.1447235389589 6.58796428842381,53.1454361003767 6.58723662127175,53.1492829143873 6.58451445100286,53.15422601385 6.58130231249901,53.1635587076865 6.56368753473052,53.1576383868537 6.55949687370935,53.1691057702524 6.54818837593728,53.1810976495503 6.54174399074182,53.1786103187768 6.53970842538341,53.1811796397536 6.53405226518621,53.1844379506687 6.52949281005553,53.195186192356 6.51577138295652,53.1981359043816 6.51338606102473,53.1969370304108 6.50678494277714,53.2001483682797 6.49600953140726,53.1981277508605 6.49324330164109,53.1986673630049 6.48892430949584,53.2031315768882 6.4824147092313,53.2036882726822 6.46346149182372,53.200058243187 6.4627456870665,53.2019787993834 6.46681609938337,53.204530288031 6.46455111245673,53.207611963726 6.47344654365818,53.2296695654565 6.48038024017331,53.2448946479551 6.48092081205465,53.2501853008725 6.48860173081197,53.2490163654393 6.48872558012715,53.2472314065488 6.49584672191469,53.2458230442303 6.49923640080351,53.248383278985 6.50263596128424,53.2475010061816 6.51144249367092,53.2541142532816 6.50824042921629,53.2575740643884 6.5108253536178,53.2567878631032 6.51892001684085,53.2584885273461 6.52255482088388,53.2576605501664 6.5317851690702,53.2587036772502 6.53930812002271,53.2603597617015 6.54077367301117,53.263628790106 6.54863881314104,53.2646089099908 6.55394464021373,53.262125986981 6.56660126077323,53.2636073666039 6.56723018234645,53.2614940889754 6.58575240421246,53.2615398661688 6.58736489113131,53.2602726520621 6.58726153741232,53.2556702528898 6.6063513633407,53.2537408591704 6.60640730568668,53.2514166009348 6.61834587260615,53.2514859418941 6.61929703462883,53.2494479055602 6.63604776707252,53.2514608445391 6.63345194285761,53.2597603586983 6.62584803599002,53.2661971492403 6.64384337908033,53.2924772735052 6.65045264254326,53.3039402558066 6.6540535081553,53.3086445834269 6.66076611109828,53.3066927775805 6.67324557716345,53.3048135518912 6.68170546845149,53.3018966508574 6.68959170563172,53.2974492910143 6.70886287224052,53.3099105668859 6.71985793494975,53.307353566439 6.72649521464304,53.3048898481084 6.72928116921814,53.3052465261944 6.73290085662992,53.3114088028066 6.73784235173926,53.3129637446978 6.74873118566038,53.3096424164047 6.74479223012839,53.3077536462883 6.74804833352989,53.3029689360839 6.75308153859114,53.2988470802005 6.75553866730321,53.2996337427259 6.76068379098525,53.2952361950822 6.76462064795985,53.2981343712348 6.7723652560486,53.2918114977741 6.77230953455379,53.2877926594289 6.76913695173939,53.2866255447485 6.77252686527469,53.2830866090448 6.74394445349613,53.2728130206918 6.73172794825253,53.2689975135282 6.71632642454152,53.2626113196017 6.69833042594665,53.2561449634231 6.70376406588334,53.2536168778166 6.70352474497967,53.2519553546911 6.71450766525085,53.2456109275879 6.71768577728495,53.2418725138983 6.70720511658242,53.2340279051445 6.70704949453019,53.2255992220969 6.70145872440455,53.2188755302907 6.69751561369446,53.2169655988618 6.69807461166061,53.2147486188054 6.69336134700821,53.2129955041171 6.68485123248884,53.2115928318955 6.68248436578235,53.2084873006691 6.68400649827268,53.2020475078749 6.68270036320979,53.2007620665072 6.67359701640527,53.2006506499172 6.66687276977433,53.2020203548467 6.65626171311597,53.1970841344229 6.64997918777929,53.1931769963775 6.63981317674641,53.1902965864924 6.64682135897338,53.1879373642375 6.64170561675576,53.1854808328107 6.65724099606808,53.1807693477051 6.6602649725554,53.1766224300986 6.66203446830729,53.1716062629918 6.66888133680329,53.169183623849 6.67700130066206,53.1652567557129 6.68350152144838,53.1604742989473 6.68898351775619,53.1541844902848 6.69021562398908,53.1503932257848 6.68639674859912,53.1484052903141 6.6895723563594,53.1433061390812 6.69304666685818,53.1285559416736 6.69536700223703,53.1211760279612</coordinates></Polygon></MultiGeometry>;53,21859226;6,62063481
Gulpen-Wittem;Limburg;<MultiGeometry><Polygon><coordinates>5.95481629907862,50.8459241103723 5.95593674598034,50.8430735894051 5.9555349870539,50.8353179984421 5.9589027493285,50.8292273552644 5.96578964076109,50.8237767543973 5.97184583052136,50.8212200234758 5.96931804389107,50.816645613453 5.97952324432495,50.8145763620957 5.98351825227785,50.8097296921533 5.97668095502259,50.803369969773 5.96910433355639,50.8012722931057 5.9648090085833,50.8024186378461 5.95110129205626,50.7943887583928 5.94612076254762,50.7961822768727 5.9430834783277,50.7936338107817 5.94215061366132,50.7892473379108 5.94491436345015,50.7816090012691 5.94360890633364,50.7732597563957 5.93592986441672,50.7714608847649 5.93116288984933,50.7751193149652 5.92385028017025,50.7752409849413 5.92054117762254,50.7693331265466 5.92547624115196,50.76632193205 5.92683479106986,50.7630958598603 5.93203376351977,50.7609570962479 5.9357577134691,50.7569794297807 5.93106382932879,50.756942564213 5.92145026917825,50.7513574600144 5.91508103696568,50.7503674845983 5.91254686210711,50.7556752706335 5.90900988860398,50.7542187787598 5.90485016375192,50.7552238139375 5.90163012685545,50.7514005079682 5.88973842095449,50.7563277105342 5.88935492894716,50.7654999355205 5.88647702425425,50.7701567972479 5.87622814768168,50.765616257543 5.86896292211041,50.7649386514719 5.86345407482563,50.7635086790701 5.85229675708737,50.7572167353687 5.84892006193293,50.7534077755358 5.84503766269139,50.7653708463205 5.84491977858386,50.7705769906369 5.84204493203407,50.7766685037678 5.83845566652714,50.7816495304313 5.83525590279612,50.7817377212116 5.83259733274033,50.7886397263549 5.82812725671142,50.7904990217674 5.82180340875177,50.7962289533045 5.82138194658636,50.8021525206673 5.81940963728269,50.8052415709678 5.8304078276846,50.8076908860902 5.83171811717276,50.8087704110745 5.8392395802265,50.8075880230952 5.84233772536737,50.8101809437936 5.8452142636061,50.8151946395181 5.84873315758421,50.8149146188147 5.853176409821,50.8207512466056 5.85764865867214,50.8203396623809 5.86413561380507,50.8233443211644 5.86176504541158,50.830019635298 5.85946094950242,50.8336841842958 5.8659073432501,50.8375017467382 5.87395155630594,50.8379235076025 5.8775628550361,50.8414234261176 5.87517299868354,50.844654670441 5.87632592066399,50.8462449511964 5.88497058334359,50.8474715651128 5.88799265636509,50.8470336954192 5.89127625767667,50.8427989840215 5.89914652508137,50.8434804127662 5.9032579699199,50.8457060883273 5.91671448939832,50.848889396181 5.92500249590143,50.8488412462662 5.93037667762657,50.8399541735807 5.93784301054349,50.8406238202213 5.94680176762096,50.8446862964699 5.95481629907862,50.8459241103723</coordinates></Polygon></MultiGeometry>;50,80234349;5,900143711
Haaksbergen;Overijssel;<MultiGeometry><Polygon><coordinates>6.76680062425745,52.1910649040697 6.78832100775807,52.1761902453507 6.80558136309971,52.1666001676842 6.81427742261546,52.1708611113346 6.82799076295539,52.1710065474372 6.86986537740776,52.1626933927857 6.88975034413278,52.1612059236969 6.88196040923932,52.155976494418 6.87303413955984,52.1319368018534 6.87342442818141,52.1302492238189 6.86708838135214,52.1280713171421 6.85547402996541,52.1204620988035 6.84319864751187,52.1191970796174 6.82271040545108,52.1184042649742 6.76057241385644,52.118779938994 6.71627244381128,52.1182704106377 6.6978101027542,52.1235536748539 6.67769067810273,52.125958956517 6.66239900633215,52.1301674382776 6.66885089134323,52.1371545678684 6.67261310125108,52.1393099665381 6.67439489701226,52.1427744678595 6.67242878525639,52.1530317001932 6.67061287487207,52.1558235669138 6.67428021140264,52.1585379187495 6.6733974353832,52.1632397037378 6.6713389865069,52.1656832024651 6.64504078215123,52.1741942604748 6.64729415337672,52.1768952874608 6.64275505744807,52.181447123598 6.6390388197691,52.1819166025991 6.63445389395935,52.1859552136122 6.62973053863448,52.1864589923952 6.62436207240536,52.1889172991314 6.65308203996368,52.1937007041584 6.67205053047421,52.1981867233298 6.69749418535093,52.1962479732996 6.70346908072594,52.1985279410159 6.71238784843308,52.2063314383224 6.73874886059713,52.1986674061096 6.76680062425745,52.1910649040697</coordinates></Polygon></MultiGeometry>;52,15550342;6,755864593
Haaren;Noord-Brabant;<MultiGeometry><Polygon><coordinates>5.31095545732399,51.6336724334777 5.31648777302386,51.6173669467547 5.30811274896028,51.614644794899 5.3005035692303,51.6063316152859 5.29344036589198,51.602796759956 5.28777461827666,51.6023980471582 5.27735819392612,51.604765239844 5.26822762781559,51.6007929078873 5.26272596206104,51.5998118566114 5.25530566826239,51.5933778862896 5.24764875305747,51.5894450328899 5.24724142907534,51.5870404857665 5.21418689006579,51.5855571549159 5.20902253289877,51.5910292227394 5.20456867382473,51.5890488030694 5.20050099163886,51.5925661747575 5.19527385036539,51.5950555063083 5.18688436377401,51.601750713164 5.17953909407418,51.5976644602498 5.1726071581996,51.6025697139923 5.16945879846302,51.6035920072999 5.17527173337561,51.6095090888249 5.17074310884253,51.6119027572142 5.16777806262651,51.611101353276 5.16521375141446,51.6144570434625 5.16920829709213,51.6186952985338 5.14921263706168,51.6386479865007 5.14493846956347,51.6405117025337 5.14972826090815,51.6396633219442 5.16006574757621,51.6395356528673 5.15445196182051,51.6549190972474 5.15695820259171,51.6577598406845 5.15767280113341,51.6632747387111 5.16176736581619,51.6634476208278 5.16679821866722,51.6690474383887 5.2047767049693,51.6698220849324 5.21484530736188,51.6636310411486 5.22125126672695,51.6623124487766 5.22205652960391,51.6605198346185 5.22905900457377,51.6568153781348 5.23072092732439,51.6532990482938 5.22996542950919,51.650629255994 5.23649532496069,51.6512393060475 5.24255027338116,51.6494471532617 5.24750988397152,51.6438894270233 5.24595166942167,51.6418463409195 5.25050154580912,51.6392204918068 5.2464957655455,51.6327644682932 5.26119016498175,51.6278795041355 5.27509628404161,51.6201047008474 5.2776768573767,51.6191967713703 5.28207839493078,51.6224625178723 5.28552078453583,51.6229278909082 5.29466717776526,51.6213348692781 5.29702908766312,51.624983449592 5.30433275760576,51.6249238340304 5.30870904382883,51.6334018253427 5.31095545732399,51.6336724334777</coordinates></Polygon></MultiGeometry>;51,62605093;5,218108456
Haarlem;Noord-Holland;<MultiGeometry><Polygon><coordinates>4.68247623434671,52.4138487011205 4.67651871530914,52.4099633530075 4.67196240761902,52.4094470755674 4.67437950138093,52.4064693177814 4.66881627475902,52.4041627998521 4.66866464190543,52.401399403063 4.67868575096052,52.3994774547771 4.67319893473204,52.3936879481471 4.67454158872572,52.3909112459696 4.6811904267953,52.3902866628932 4.68259593356867,52.3882160862901 4.68692120199768,52.3874437041672 4.6853693390476,52.3827595125376 4.67271457743846,52.3742247369974 4.67154893719599,52.3696426567083 4.67611293048885,52.3570799600331 4.67644591346347,52.3542871380718 4.67254658260787,52.3506095349398 4.64955171740425,52.3406544069208 4.63964808236255,52.338906077902 4.6410337325974,52.3439855572918 4.63988940922755,52.3508030443283 4.63493071232917,52.3559091043345 4.63758973908804,52.3594677840271 4.63662640319247,52.3614841772821 4.63029994704573,52.3606491166115 4.62591004899824,52.3620842167388 4.61766660416203,52.3615349574904 4.60572374022145,52.363404858273 4.60732395427695,52.3670447153211 4.60433248462354,52.3675395916173 4.60458654474203,52.3713552571986 4.60152650687655,52.3722782558668 4.59953026474991,52.3775570106391 4.60201704185363,52.3846194258656 4.60855195938359,52.3854436381612 4.61081957738464,52.3898211343146 4.62160583786369,52.3879817567693 4.62394085901925,52.3920046247366 4.62425421909717,52.3974389939822 4.63164770105915,52.4116656202583 4.63618383737597,52.4108201881767 4.64497979869146,52.4208581289847 4.65076867500702,52.4285696635044 4.66593191477096,52.4254337485558 4.67207429358577,52.4224711023554 4.67437247361617,52.4186342270449 4.68122724273758,52.4193314500629 4.68247623434671,52.4138487011205</coordinates></Polygon></MultiGeometry>;52,38340808;4,647530503
Haarlemmermeer;Noord-Holland;<MultiGeometry><Polygon><coordinates>4.81875263735915,52.3255602589946 4.81906181391293,52.3233183339491 4.81612417355515,52.3134912055678 4.81718138840335,52.3121066102682 4.80988375998948,52.3057761006804 4.79883582188611,52.3014211122583 4.79562779233468,52.2992587532787 4.79251974154043,52.2928328438476 4.78834146391418,52.2885309447338 4.78011391913847,52.2832445353915 4.76401253088556,52.2764176992055 4.74654774957392,52.2721967876849 4.7397202318002,52.2678100451819 4.72979551142729,52.2651629939595 4.72516424624936,52.2628830929393 4.72096902058694,52.2589064598481 4.7129321794426,52.2551453959158 4.70514449584482,52.2466466139629 4.7003724057511,52.2439666913342 4.69271367188143,52.242719696133 4.68170949573924,52.2393180310049 4.67638933443123,52.2339548501127 4.67034815429832,52.2307557855631 4.66531772275979,52.2276856480847 4.65766858697363,52.225829870256 4.64660993690715,52.2209697276015 4.63197750142735,52.2160464112151 4.61814981944261,52.2144684052567 4.60170756173645,52.2146510583562 4.58435423609046,52.2187649999551 4.57193829905145,52.2169718367985 4.5584332120336,52.2187985374876 4.55393404912796,52.2222054200655 4.55089937717667,52.2254707076148 4.55362504908386,52.2309329742349 4.56045207821889,52.2329724562846 4.56299780918614,52.2349202129289 4.56755075593399,52.2492159520766 4.56950106019968,52.2595726810564 4.56785948487699,52.2673474971894 4.5727491001021,52.2712400187124 4.58799988069992,52.2801355423209 4.59148685979509,52.2861681321053 4.59588388681352,52.2911224845501 4.59708732338126,52.2960841776242 4.60390406893374,52.3053572804734 4.61110789668946,52.3116073924947 4.61167610546032,52.31355991302 4.61138393016081,52.3222045806479 4.61266136256431,52.3272007203296 4.61659188152259,52.3315039755616 4.62035118549703,52.3338183496802 4.62974090000098,52.3373102277655 4.63964808236255,52.338906077902 4.64955171740425,52.3406544069208 4.67254658260787,52.3506095349398 4.67644591346347,52.3542871380718 4.67611293048885,52.3570799600331 4.67154893719599,52.3696426567083 4.67271457743846,52.3742247369974 4.6853693390476,52.3827595125376 4.68692120199768,52.3874437041672 4.68259593356867,52.3882160862901 4.6811904267953,52.3902866628932 4.67454158872572,52.3909112459696 4.67319893473204,52.3936879481471 4.67868575096052,52.3994774547771 4.66866464190543,52.401399403063 4.66881627475902,52.4041627998521 4.67437950138093,52.4064693177814 4.67196240761902,52.4094470755674 4.67651871530914,52.4099633530075 4.68247623434671,52.4138487011205 4.68999594937859,52.4179013724521 4.70053728861006,52.4255129193233 4.71206253596192,52.4282831520858 4.72198315975481,52.4333361703502 4.73920816124031,52.4310638311614 4.72875899391532,52.4007113493848 4.75605332727186,52.3971919121317 4.75785759545154,52.3965874446648 4.7591247741021,52.3793292452384 4.7564339389708,52.3777635411687 4.75857474993734,52.3715943521289 4.75490189161977,52.3583838434077 4.75733018958427,52.3552028751813 4.79054126584829,52.3418416917005 4.79821626725554,52.3350416941947 4.81543591949757,52.3278926917294 4.81875263735915,52.3255602589946</coordinates></Polygon></MultiGeometry>;52,30807947;4,686456097
Halderberge;Noord-Brabant;<MultiGeometry><Polygon><coordinates>4.60123324871707,51.6252388870109 4.6042928900391,51.6213260406293 4.60339375267608,51.617748608802 4.60887527752459,51.6150017331571 4.61064487461652,51.6096959848474 4.61388351624417,51.6080078645472 4.60220224703776,51.5950542647191 4.59675526132172,51.5902978182961 4.59855789935966,51.5843781856445 4.5959791492146,51.5756838307268 4.59469529857151,51.5666750489848 4.59064579347101,51.5659786763464 4.59176138637785,51.5610316441 4.53348273256942,51.5492694692043 4.53035868197193,51.5492556535282 4.52806905275204,51.5519988004844 4.53090539114343,51.5598876062106 4.53661649907267,51.5657764192199 4.50945087538842,51.5685618870482 4.50871354516987,51.5655486160324 4.50495564467439,51.5660263070431 4.50163482467979,51.5632707273663 4.50020422026409,51.558536328081 4.48084167832629,51.5609744069871 4.47359087573086,51.5607448674988 4.46952216592259,51.5630076027671 4.46567134924991,51.5610499473945 4.45753564334544,51.5614591330367 4.45318438981127,51.5635520136837 4.45326258314873,51.5665612646752 4.44782526358135,51.5660166448888 4.44399930984034,51.5690954325703 4.4336203445398,51.5818340574627 4.43087078274639,51.5868415783316 4.42941675476972,51.5931385430153 4.42810096258257,51.6049339640283 4.42667486988389,51.6117401991236 4.43174518943292,51.6110251909367 4.43193505918657,51.6139112069361 4.43782793533821,51.617119156465 4.44353659916082,51.615088552091 4.45334632634633,51.6142873672236 4.46161189189938,51.6143915122957 4.47276439945264,51.6164403685508 4.4815045958619,51.6199117156404 4.48945429602545,51.6191292135737 4.49312742238045,51.6169590309622 4.4995862225316,51.6102822505981 4.50415641716585,51.6080165765833 4.5103528271662,51.6067533460702 4.5191325147717,51.6078341040087 4.52907159209072,51.6150938838972 4.53234738143838,51.6164524518889 4.5432043724733,51.6176677917888 4.55333930677006,51.6225449667338 4.55725353667693,51.6273028829619 4.56147153779983,51.6291536603755 4.57084912362118,51.6304067258619 4.57665965242283,51.6298650212678 4.58818024425658,51.6255817773664 4.59447148087906,51.6241279789212 4.60123324871707,51.6252388870109</coordinates></Polygon></MultiGeometry>;51,59054022;4,523114369
