Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Haarlem;0392;18447;5853;8998;17293;6753;15172;7512;1682;2658;5476;215;1637;3076;232;468;143;105;192;49;91;38;69;35;;;;;;;
Haarlemmerliede en Spaarnwoude;0393;1126;421;452;474;215;346;214;44;119;145;8;88;19;25;18;0;12;4;4;3;3;2;1;;;;;;;
Haarlemmermeer;0394;26485;9182;12096;10903;5128;6579;4462;2223;3305;2808;656;2070;1381;470;328;148;115;272;82;81;45;51;23;;;;;;;
Heemskerk;0396;6013;2663;3436;3048;2372;2300;1524;358;1011;808;51;600;378;133;88;31;24;40;23;16;7;23;8;;;;;;;
Heemstede;0397;6481;1812;1064;3345;679;1634;1025;289;394;689;46;304;38;44;35;8;10;15;9;12;4;6;4;;;;;;;
Hilversum;0402;12464;4345;5470;9036;3704;6073;3314;1441;1800;2304;351;944;1169;232;314;59;67;50;24;31;24;39;22;;;;;;;
Huizen;0406;7431;3483;2803;3260;1457;1973;1358;1528;854;926;603;584;437;101;67;53;27;28;9;18;11;13;8;;;;;;;
Laren;0417;3503;747;565;922;282;393;284;78;151;243;9;166;16;19;25;10;6;4;1;2;1;1;3;;;;;;;
Ouder-Amstel;0437;2305;833;732;1431;407;878;671;156;288;327;85;155;51;27;30;8;12;56;3;11;0;10;7;;;;;;;
Uithoorn;0451;5717;1822;2286;2300;1084;1368;973;290;729;592;59;394;203;85;94;19;30;32;10;14;17;9;5;;;;;;;
Velsen;0453;10211;3737;6947;5436;3447;3389;2595;993;1793;1537;122;1076;594;237;160;63;61;23;43;37;16;26;14;;;;;;;
Weesp;0457;2714;1119;1211;1836;827;1407;802;175;459;449;48;176;316;57;49;25;14;20;5;9;8;11;2;;;;;;;
Wijdemeren;1696;5371;2043;1660;2005;812;1051;769;375;474;526;133;357;25;77;53;12;22;7;11;10;4;10;1;;;;;;;
Zandvoort;0473;3475;815;1769;1179;651;713;604;72;454;517;14;378;38;84;40;18;28;7;9;10;6;7;6;;;;;;;
Alkmaar;0361;15040;5858;7236;9455;5821;8686;4933;1077;2245;3242;139;1344;1281;379;329;124;109;138;91;50;53;56;22;;;;;12;;
Beemster;0370;2277;723;652;759;308;451;401;44;159;227;19;151;12;28;13;2;8;6;7;6;3;4;1;;;;;2;;
Bergen (NH);0373;6202;2091;2236;2654;1212;2180;1376;222;630;1203;35;438;15;215;60;44;34;6;11;10;12;11;9;;;;;3;;
Castricum;0383;7082;2815;1997;3616;1715;2686;1732;297;682;987;45;480;28;114;88;35;36;17;14;7;10;12;7;;;;;2;;
Den Helder;0400;7297;4026;6459;2921;2783;2144;1877;1083;1793;1086;288;996;97;340;131;62;48;23;41;17;25;29;10;;;;;10;;
Drechterland;0498;3929;1833;1510;1497;878;812;650;139;447;352;27;321;3;90;40;22;27;14;8;8;8;4;3;;;;;4;;
Edam-Volendam;0385;5517;5251;5212;1657;866;1219;895;157;678;622;45;1470;73;165;46;40;30;8;19;15;9;7;2;;;;;4;;
Enkhuizen;0388;2598;1158;1496;1356;1246;1027;802;245;412;462;164;223;162;44;51;13;20;14;10;7;5;7;6;;;;;2;;
Heerhugowaard;0398;8572;3563;3992;4047;3061;2766;1949;658;1135;1059;69;688;504;163;120;60;72;36;121;27;22;41;8;;;;;7;;
Heiloo;0399;4832;1771;1166;2553;881;1589;1197;238;382;689;53;301;17;70;56;19;20;7;7;11;12;11;4;;;;;1;;
Hollands Kroon;1911;8618;3887;4375;2936;2455;1867;1650;576;1233;820;174;859;15;218;89;61;62;3;80;15;15;19;8;;;;;7;;
Hoorn;0405;10073;3827;5432;5592;4212;4659;3166;695;1571;1728;109;955;692;193;193;75;74;154;39;55;24;19;24;;;;;7;;
Koggenland;1598;4982;2233;1630;1583;974;931;717;132;535;418;50;312;9;112;41;18;31;8;20;13;10;3;5;;;;;1;;
Landsmeer;0415;1958;546;1005;1026;633;728;577;66;249;308;23;188;41;26;20;9;26;13;5;7;3;0;0;;;;;0;;
Langedijk;0416;5163;2141;2025;2261;1270;1559;999;523;604;630;88;429;77;140;58;30;33;9;35;18;20;6;5;;;;;1;;
Medemblik;0420;7842;3983;3561;3058;2027;1707;1344;702;1066;818;239;639;159;174;99;41;52;10;43;19;12;8;6;;;;;2;;
Oostzaan;0431;1802;423;1114;666;432;495;496;107;284;260;27;158;30;48;27;10;14;12;2;5;5;2;1;;;;;1;;
Opmeer;0432;2286;1129;815;943;461;482;358;66;287;177;17;171;2;63;27;12;15;2;7;6;10;2;2;;;;;1;;
Purmerend;0439;10687;3826;9191;5407;4400;4177;3209;691;2474;1765;89;1112;553;252;252;92;94;354;45;57;30;27;15;;;;;9;;
Schagen;0441;9169;3545;3265;3658;2381;2433;1964;361;1059;1014;67;683;19;158;107;45;54;4;65;18;13;24;9;;;;;4;;
Stede Broec;0532;3383;1829;1998;1433;1361;882;709;175;624;383;52;287;51;89;44;24;19;9;17;9;12;2;4;;;;;4;;
Texel;0448;2704;1310;963;1144;806;1003;776;210;271;373;72;179;1;61;32;15;15;6;12;5;11;1;4;;;;;0;;
Uitgeest;0450;2715;980;862;1267;688;815;568;101;270;296;16;210;14;59;35;11;17;5;4;8;3;4;0;;;;;2;;
Waterland;0852;3060;1689;1391;1484;746;1136;904;212;361;448;41;306;16;63;28;13;15;17;4;6;4;1;6;;;;;0;;
Wormerland;0880;2694;1034;1255;1172;1046;1101;763;205;423;386;43;236;58;48;46;21;16;17;5;11;2;2;4;;;;;1;;
Zaanstad;0479;17410;6510;13188;10379;9308;9214;6388;1676;3710;3706;363;1824;4538;433;375;134;161;631;98;92;57;65;36;;;;;41;;
's-Gravenhage;0518;67595;19853;45242;51649;17614;39242;21784;6134;7850;13785;1638;5781;19263;1024;1315;352;266;1253;170;226;133;240;105;;70;;;49;;
Rotterdam;0599;53382;18813;50759;42687;26830;37591;20627;7622;10835;12618;2323;5753;25710;1208;1432;396;295;4297;200;254;151;196;123;;87;;42;;;
Alblasserdam;0482;1907;1467;1728;797;915;618;684;1112;349;245;1955;212;210;51;28;15;5;3;9;2;4;1;1;28;1;;0;;;
Albrandswaard;0613;4499;1761;2716;1647;1018;861;742;443;563;430;204;473;156;86;46;19;21;32;14;10;7;7;4;8;4;;0;;;
Barendrecht;0489;7715;3570;4699;3008;1784;1848;1331;1235;1061;737;1294;787;621;161;74;41;28;86;24;11;10;14;5;16;1;;3;;;
Binnenmaas;0585;4847;2706;2943;1665;1278;929;1147;901;654;567;1169;463;13;100;48;37;15;6;11;11;10;1;7;11;4;;0;;;
Brielle;0501;3160;1202;1964;1069;953;604;605;151;419;329;50;352;16;60;35;41;22;5;6;8;12;4;1;6;1;;2;;;
Cromstrijen;0611;2267;1176;1350;755;619;427;468;309;324;222;583;183;2;47;20;10;5;2;4;6;1;4;1;4;1;;1;;;
Delft;0503;10780;4509;6965;12300;4055;8702;3950;1920;1590;2348;324;1032;1142;162;450;71;58;133;34;43;20;40;17;35;11;;5;;;
Dordrecht;0505;12694;6402;10893;7101;6478;6342;3925;3237;2221;2715;2121;1172;3123;271;268;97;63;143;50;45;26;22;19;74;15;;18;;;
Giessenlanden;0689;2508;1738;1062;677;622;393;503;1022;244;177;688;172;7;38;12;18;5;3;7;1;3;4;3;27;1;;1;;;
Goeree-Overflakkee;1924;6179;4105;4954;1687;2102;1098;1376;2330;956;659;5644;603;8;155;51;48;23;7;16;12;12;9;10;62;2;;2;;;
Gorinchem;0512;4546;2135;2883;2402;1909;1741;1340;1119;657;625;472;400;1075;68;52;19;19;16;10;11;3;2;4;38;3;;0;;;
Hardinxveld-Giessendam;0523;1832;1741;1319;443;616;292;417;1930;230;147;2360;161;20;21;24;13;12;1;4;5;0;6;2;25;0;;1;;;
Hellevoetsluis;0530;5675;2118;5205;2025;2074;1360;1313;439;1217;792;100;739;331;218;72;56;40;25;21;22;16;5;6;13;2;;1;;;
Hendrik-Ido-Ambacht;0531;4414;2333;2536;1546;1127;852;763;1179;529;383;2441;373;167;73;32;19;19;15;13;6;5;3;3;14;1;;0;;;
Korendijk;0588;1546;922;1042;491;431;327;284;315;251;180;1315;158;3;32;12;7;10;2;3;9;1;2;6;7;0;;0;;;
Leerdam;0545;2460;1666;1857;896;903;684;550;879;344;279;1124;198;862;39;19;35;6;2;5;11;4;7;2;12;1;;1;;;
Maassluis;0556;4519;2668;3388;1875;1381;1173;1086;754;786;557;171;381;1176;101;66;30;24;38;9;9;5;11;5;6;1;;4;;;
Midden-Delfland;1842;4149;2431;1234;1662;484;841;536;514;284;293;77;297;44;54;36;13;13;7;5;3;6;5;2;5;0;;0;;;
Molenwaard;1927;3045;3261;1857;806;904;553;646;2648;347;265;4165;261;18;59;21;17;10;2;6;2;7;3;1;38;0;;0;;;
Nissewaard;1930;10560;4789;12359;4101;5464;3093;2879;1145;2904;1555;362;1360;432;340;183;92;69;182;67;57;32;33;14;52;5;;11;;;
Oud-Beijerland;0584;3766;1846;2248;1548;1010;897;820;825;461;426;1418;379;17;59;45;32;12;6;9;15;10;2;4;1;1;;2;;;
Papendrecht;0590;4653;2713;3048;1794;1620;1296;1009;1349;750;506;913;452;214;113;62;29;15;16;16;11;4;9;8;21;1;;5;;;
Ridderkerk;0597;5385;3460;5273;2183;2233;1588;1351;1688;1263;764;2493;662;419;132;76;50;26;31;9;17;7;14;8;21;2;;4;;;
Rijswijk;0603;6852;3015;5507;4014;2009;2748;1752;621;1164;1171;114;692;517;119;140;45;34;69;16;11;25;18;6;14;5;;3;;;
Schiedam;0606;7120;3274;8339;4209;4008;3444;2397;706;1783;1397;211;894;3453;214;156;65;44;201;31;29;15;23;22;36;9;;3;;;
Sliedrecht;0610;2411;1990;1998;899;1220;659;715;1652;439;332;2398;228;216;54;39;19;15;6;9;5;6;6;1;14;2;;0;;;
Strijen;0617;1449;874;962;492;425;296;315;306;188;185;227;178;1;32;17;11;4;3;4;2;4;2;0;12;0;;1;;;
Vlaardingen;0622;8036;4181;7869;4125;4057;3107;2488;1193;1731;1378;659;971;2433;228;134;82;40;122;27;40;20;17;5;29;5;;0;;;
Westland;1783;21812;12452;11069;5116;2480;2624;1866;1921;1723;1349;1049;2053;517;287;130;92;83;5;36;23;32;22;13;45;4;;6;;;
Westvoorne;0614;3392;1099;1591;945;519;389;497;149;353;338;49;280;7;66;20;19;10;5;6;6;7;4;3;3;1;;1;;;
Zederik;0707;1729;1937;957;506;446;320;413;1096;173;139;1400;88;2;35;15;11;10;1;1;6;2;8;0;11;0;;3;;;
Zwijndrecht;0642;5416;3418;4630;2244;2375;1601;1301;1583;1088;731;1221;552;753;130;71;52;20;26;17;8;8;11;7;47;6;;1;;;
Alphen aan den Rijn;0484;17829;9099;7957;8216;4464;5420;3213;3064;1942;1965;1900;1526;1245;324;268;137;84;76;;45;36;37;18;43;16;;2;;;
Bodegraven-Reeuwijk;1901;5952;3516;2554;2056;878;1243;787;1488;525;386;1772;394;247;81;60;23;20;3;;7;12;5;2;21;2;;1;;;
Capelle aan den IJssel;0502;7854;3435;6439;4040;3224;2909;2203;1584;1536;1323;2016;860;502;232;122;55;37;312;;25;9;18;12;43;6;;3;;;
Gouda;0513;7361;4400;5471;5750;3188;4660;2733;2721;1202;1558;1996;797;1735;192;164;78;49;29;;21;19;31;9;43;7;;7;;;
Hillegom;0534;3870;1641;1820;1593;876;980;687;233;565;443;75;390;86;64;42;19;28;7;;5;11;4;7;3;3;;1;;;
Kaag en Braassem;1884;5631;2722;2335;2171;930;1090;712;271;590;455;100;433;24;94;43;26;30;5;;9;5;4;3;5;2;;1;;;
Katwijk;0537;8212;8263;5907;2338;1803;1528;1181;3927;1146;843;3911;1079;178;172;105;45;38;17;;11;9;12;3;57;10;;5;;;
Krimpen aan den IJssel;0542;3616;2009;2789;1619;1216;995;1040;1259;579;470;2690;387;84;75;46;9;22;33;;7;5;16;3;12;5;;0;;;
Krimpenerwaard;1931;8934;4830;4630;3124;2191;2018;1883;2226;1019;1034;3433;708;276;157;77;55;32;9;;18;8;28;3;26;5;;5;;;
Lansingerland;1621;12033;5027;4877;4326;1585;2060;1473;2065;944;962;431;850;385;178;123;48;51;48;;13;12;8;2;17;2;;1;;;
Leiden;0546;13071;4818;8172;16305;5152;13179;5387;1916;1603;3692;268;1378;1631;192;436;105;44;175;;49;32;46;19;37;19;;7;;;
Leiderdorp;0547;4493;2001;1958;2887;1089;1581;1219;415;526;531;183;388;239;64;57;24;19;15;;15;3;6;2;5;2;;1;;;
Leidschendam-Voorburg;1916;12831;5351;5710;7001;2480;3744;2755;958;1443;1772;210;977;501;195;141;64;63;97;;34;20;32;23;25;10;;4;;;
Lisse;0553;4332;2167;1740;1809;832;902;600;475;587;448;720;360;24;80;42;17;15;6;;7;4;8;2;2;0;;8;;;
Nieuwkoop;0569;5572;3186;2486;1746;932;1019;680;501;562;383;368;416;42;101;61;25;41;5;;9;9;7;3;13;6;;1;;;
Noordwijk;0575;5578;1906;2102;1909;943;1174;764;276;592;520;79;499;70;82;43;25;23;4;;6;4;8;4;3;1;;1;;;
Noordwijkerhout;0576;3487;1443;1390;1126;593;669;387;120;438;289;15;339;14;58;26;12;13;4;;5;6;6;1;2;0;;2;;;
Oegstgeest;0579;4531;1560;1056;3034;607;1547;1024;465;311;512;65;257;54;46;49;14;3;13;;6;3;7;1;3;2;;0;;;
Pijnacker-Nootdorp;1926;9778;4114;4387;4424;1550;2288;1472;991;782;894;253;757;259;156;104;61;45;35;;14;10;16;9;13;4;;5;;;
Teylingen;1525;7594;3218;2414;3481;1219;1789;987;512;749;646;93;525;97;73;73;35;24;6;;14;17;14;6;5;2;;3;;;
Voorschoten;0626;4911;1889;1604;2730;845;1518;999;382;339;574;52;323;105;59;52;19;32;6;;6;12;11;2;4;2;;1;;;
Waddinxveen;0627;3739;2319;2128;1613;951;979;755;1588;557;353;1427;304;300;54;45;31;19;4;;11;2;10;3;19;1;;2;;;
Wassenaar;0629;6331;1843;1749;1694;508;742;500;215;359;474;70;493;36;43;26;36;13;9;;6;9;5;3;2;8;;0;;;
Zoetermeer;0637;17595;7424;12271;9200;5858;6209;4424;2088;3045;2601;813;1896;928;328;369;204;99;251;;49;47;69;30;47;19;;13;;;
Zoeterwoude;0638;1450;946;613;766;329;467;278;97;189;191;44;129;22;17;11;9;9;2;;3;1;3;3;1;0;;1;;;
Zuidplas;1892;6951;3234;3451;2558;1650;1503;1156;1691;680;682;1934;596;247;127;75;47;32;15;;14;13;16;4;41;3;;3;;;
Borsele;0654;2752;2459;1650;1026;1129;665;635;507;491;359;2399;252;4;52;43;6;12;4;10;;7;12;1;;2;;0;;;
Goes;0664;4676;3434;2576;2328;2436;1866;1391;1144;721;733;1514;358;121;80;66;56;25;16;14;;6;8;8;;5;;1;;;
Hulst;0677;3540;2381;2804;1289;1903;882;855;130;833;422;56;241;19;71;30;30;20;3;17;;6;6;4;;2;;6;;;
Kapelle;0678;1812;1294;837;688;606;395;368;580;247;190;1087;139;5;36;16;5;12;1;2;;2;2;3;;0;;0;;;
Middelburg;0687;5022;3405;2813;3128;3004;3072;2160;2031;818;1217;2449;461;375;84;86;39;27;20;19;;14;9;3;;7;;1;;;
Noord-Beveland;1695;1172;698;711;332;410;253;296;141;175;180;217;105;3;30;13;8;15;1;4;;3;2;2;;0;;1;;;
Reimerswaal;0703;1860;1555;1686;499;815;312;426;695;297;208;4484;200;69;46;27;11;10;4;6;;4;6;1;;2;;4;;;
Schouwen-Duiveland;1676;5613;3053;2872;1770;1828;1178;1242;1065;706;723;2149;468;4;75;39;21;31;4;10;;7;10;10;;1;;3;;;
Sluis;1714;3544;1881;2305;1032;1461;742;996;229;532;363;187;228;6;67;33;8;18;4;4;;8;1;7;;1;;1;;;
Terneuzen;0715;5634;4244;5351;2493;3349;1754;1723;1447;1356;708;1257;512;520;123;92;43;38;29;25;;20;14;11;;6;;6;;;
Tholen;0716;2455;1902;2475;712;1282;491;620;1019;419;277;3897;258;53;59;20;13;11;2;13;;4;7;9;;3;;1;;;
Veere;0717;3423;2561;1173;1198;917;811;791;873;360;425;2179;264;4;54;33;13;22;2;5;;5;0;3;;3;;0;;;
Vlissingen;0718;4741;2696;4049;2526;3159;2133;1700;831;1207;1003;507;581;396;116;126;45;42;32;24;;14;15;9;;6;;9;;;
Aalburg;0738;1327;1362;1229;294;444;165;149;931;154;148;1954;100;7;49;12;5;12;0;2;7;2;1;1;12;0;;0;;;
Alphen-Chaam;1723;2051;1425;799;671;614;329;183;44;219;154;13;104;13;27;21;48;11;0;5;2;4;1;2;3;2;;0;;;
Baarle-Nassau;0744;1044;918;726;313;413;214;126;23;167;117;9;67;8;9;6;9;3;0;3;2;1;4;1;3;1;;0;;;
Bergen op Zoom;0748;9557;4213;6878;4113;4243;3170;1681;417;1628;989;63;610;1744;122;91;39;43;16;139;25;11;16;10;20;4;;5;;;
Breda;0758;30141;10498;12759;16528;10498;11567;5325;1102;2771;3719;158;1788;2132;341;462;152;121;122;103;57;44;44;36;32;13;;8;;;
Dongen;0766;4114;2165;2135;1845;1935;1101;791;212;548;355;54;237;326;64;32;12;23;4;82;6;2;9;4;7;2;;3;;;
Drimmelen;1719;4836;2327;2897;1770;1966;1040;720;145;689;448;47;296;15;67;32;30;22;4;13;3;4;6;4;3;1;;1;;;
Etten-Leur;0777;6841;3541;4172;2624;2863;1909;1065;242;913;561;51;403;539;95;42;37;33;18;49;12;7;13;7;9;4;;2;;;
Geertruidenberg;0779;3362;1695;2554;1165;1825;801;582;127;523;287;42;303;24;61;31;16;15;2;11;6;1;0;4;3;6;;0;;;
Gilze en Rijen;0784;3903;2256;2356;1816;1975;1161;694;90;714;365;30;311;472;58;45;27;19;4;29;6;4;8;4;3;1;;3;;;
Goirle;0785;3719;2018;1917;2036;2015;1275;733;86;549;359;7;261;80;48;25;20;19;8;17;8;6;0;4;5;2;;1;;;
Halderberge;1655;4742;2496;3630;1497;2222;1006;630;146;715;376;33;286;233;55;44;24;28;4;14;6;1;8;9;5;4;;1;;;
Hilvarenbeek;0798;2858;2093;944;1226;1200;673;434;75;299;226;9;112;4;25;20;7;11;1;15;4;2;1;5;3;1;;0;;;
Loon op Zand;0809;3923;2094;2480;1369;1646;938;562;131;567;326;77;207;84;60;22;22;24;7;24;9;4;3;3;5;0;;2;;;
Moerdijk;1709;5832;3276;4079;1892;2684;1253;933;587;891;598;141;399;111;132;51;48;34;9;21;5;4;8;3;12;2;;0;;;
Oisterwijk;0824;5167;2438;1868;2094;1731;1293;639;128;543;387;21;236;58;50;35;7;19;8;17;12;5;0;2;3;4;;1;;;
Oosterhout;0826;8581;3952;5511;3836;3584;2428;1484;313;1168;778;36;554;980;130;72;37;42;22;34;18;20;4;6;12;9;;2;;;
Roosendaal;1674;10749;5745;8177;4296;4867;4098;1753;365;1629;1001;71;751;1629;143;99;81;41;23;35;25;21;45;13;16;4;;2;;;
Rucphen;0840;2718;1575;5396;721;1411;456;377;66;563;224;8;217;9;44;12;13;16;1;12;6;2;6;5;5;0;;3;;;
Steenbergen;0851;3599;1830;3322;1164;1587;686;531;217;607;318;183;289;13;72;29;15;17;2;13;4;7;5;5;21;1;;2;;;
Tilburg;0855;24204;11174;16470;17903;13758;14456;5726;1001;3923;4236;175;1923;3971;396;442;120;123;205;159;67;50;51;37;60;24;;11;;;
Waalwijk;0867;7118;3750;4562;2689;3180;1690;1042;738;1165;662;574;488;612;122;71;32;32;2;34;11;15;6;8;19;0;;5;;;
Werkendam;0870;3356;3116;2629;987;1216;615;576;1242;441;280;2093;258;11;70;20;18;21;3;9;6;5;5;1;20;2;;2;;;
Woensdrecht;0873;3222;1790;2725;1053;1481;599;480;106;544;309;20;241;29;60;19;16;11;3;53;6;7;10;0;5;2;;2;;;
Woudrichem;0874;1917;2002;1221;582;709;394;357;1331;227;184;455;161;1;48;19;4;12;2;8;3;1;1;1;18;1;;0;;;
Zundert;0879;3746;2364;2210;1090;1337;643;412;70;468;279;26;226;40;48;19;55;19;3;36;5;8;2;3;1;0;;2;;;
Asten;0743;2942;2201;1320;1026;1304;586;366;51;383;214;17;172;10;26;24;9;15;1;14;6;5;3;6;;2;;3;;;
Bergeijk;1724;3057;2631;1575;0;1386;575;393;93;422;252;33;204;6;62;26;10;12;5;30;6;4;1;4;;3;;0;;;
Bernheze;1721;4835;3845;2237;2077;2901;988;641;108;555;275;21;281;43;59;52;16;25;4;10;2;7;2;5;;2;;0;;;
Best;0753;4878;2477;2356;2258;2194;1210;697;403;800;412;39;279;225;86;42;19;27;8;25;13;8;8;3;;0;;2;;;
Bladel;1728;3309;2424;1661;1189;1781;677;448;75;554;261;22;217;3;44;24;12;25;2;31;6;7;4;4;;2;;2;;;
Boekel;0755;1585;1563;862;562;969;256;179;26;170;111;8;89;2;28;21;4;12;2;4;3;13;0;2;;1;;2;;;
Boxmeer;0756;3960;0;1933;0;5406;0;649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;;
Boxtel;0757;4274;2511;2306;2487;2676;1588;930;160;569;463;18;266;194;59;57;15;28;6;14;16;7;6;2;;5;;1;;;
Cranendonck;1706;3211;2329;2300;1193;1629;548;425;89;597;336;18;242;13;55;34;18;15;3;16;4;10;1;1;;1;;3;;;
Cuijk;1684;3275;2182;1980;1759;3059;1114;631;97;440;372;8;182;475;74;43;8;12;7;15;7;11;8;8;;4;;3;;;
Deurne;0762;5185;3884;2891;1812;2764;1081;636;89;770;370;25;310;39;80;59;37;34;9;19;9;14;6;9;;5;;3;;;
Eersel;0770;3343;2454;1310;1344;1437;661;454;88;430;266;23;171;5;52;31;13;23;2;24;3;9;6;2;;4;;0;;;
Eindhoven;0772;24122;10882;15850;20279;14599;15240;6620;1986;4506;5050;250;2139;4343;441;811;144;123;172;86;98;78;75;44;;29;;10;;;
Geldrop-Mierlo;1771;5312;3377;3703;3008;3240;1961;1059;299;875;724;31;397;236;91;104;29;23;13;25;13;16;6;4;;9;;3;;;
Gemert-Bakel;1652;4271;3691;2843;1710;2963;1067;581;68;614;391;23;280;13;79;50;13;31;3;14;11;6;6;3;;1;;3;;;
Grave;0786;1831;1189;1129;912;1265;527;340;50;263;207;10;127;6;36;25;6;9;2;2;5;8;2;1;;2;;2;;;
Haaren;0788;2546;1754;908;1034;911;622;341;73;324;203;16;104;9;29;17;14;6;2;20;3;4;2;2;;0;;0;;;
Heeze-Leende;1658;3053;1829;1172;1321;1095;625;420;91;293;234;17;146;11;34;31;18;14;2;13;9;1;2;0;;0;;0;;;
Helmond;0794;10493;5272;10260;4777;7067;3532;1898;388;1805;1188;51;820;1501;201;148;71;51;41;50;38;29;22;12;;4;;19;;;
Heusden;0797;7289;4010;4415;2980;3121;1642;1105;300;933;652;63;457;414;112;66;42;44;9;46;15;7;12;15;;3;;2;;;
Laarbeek;1659;3524;2400;2189;1383;2149;707;500;62;375;271;17;193;4;50;32;11;21;2;15;5;4;3;5;;4;;2;;;
Landerd;1685;2598;1916;1301;1051;1659;479;360;63;298;169;10;131;2;28;25;10;11;3;2;6;7;1;1;;0;;2;;;
Meierijstad;1948;12714;8712;6428;5240;6689;2962;1904;246;1568;944;48;680;817;173;117;53;90;8;31;24;14;14;8;;7;;12;;;
Mill en Sint Hubert;0815;1685;1479;986;561;1444;326;234;46;239;114;12;84;6;17;19;15;14;0;5;7;7;3;0;;0;;1;;;
Nuenen, Gerwen en Nederwetten;0820;4432;2269;1508;2297;1591;1240;863;167;434;402;14;265;20;53;33;17;12;4;30;9;9;8;4;;2;;2;;;
Oirschot;0823;3425;2383;1523;1282;1486;617;456;75;389;218;28;207;4;41;24;9;21;0;13;3;5;2;1;;4;;1;;;
Oss;0828;11543;7943;9159;5413;9615;3447;2212;320;1756;1122;42;850;1521;201;157;60;75;27;47;25;18;15;10;;6;;4;;;
Reusel-De Mierden;1667;2062;1606;1107;751;1152;359;278;39;331;148;14;105;2;20;21;10;16;1;19;5;1;7;0;;2;;1;;;
's-Hertogenbosch;0796;21683;9241;13810;13484;10198;10218;4724;850;2760;3116;140;1532;2107;282;334;109;106;78;72;65;29;43;27;;17;;8;;;
Sint Anthonis;1702;1838;2070;688;684;1598;372;211;37;150;118;21;72;2;9;10;9;15;0;7;5;4;1;0;;0;;0;;;
Sint-Michielsgestel;0845;4787;2821;2380;2368;2218;1309;826;136;523;427;18;276;17;70;49;16;19;6;29;6;5;7;1;;0;;9;;;
Someren;0847;3358;2349;1923;1082;1379;522;383;62;556;202;18;173;16;68;22;14;22;2;8;4;4;9;4;;1;;0;;;
Son en Breugel;0848;3157;1702;1135;1471;901;754;447;126;371;311;17;161;12;46;29;9;17;5;6;4;7;4;3;;0;;1;;;
Uden;0856;6544;4026;3304;3020;3756;1644;1029;145;746;593;22;415;358;78;71;21;39;8;23;15;27;5;3;;4;;4;;;
Valkenswaard;0858;4865;2927;3188;2051;2545;1227;883;187;910;464;23;347;19;73;51;38;24;5;26;14;21;7;1;;6;;2;;;
Veldhoven;0861;7045;3868;4032;3406;3697;1913;1174;342;1064;692;49;437;50;117;102;34;46;6;35;20;6;15;7;;8;;8;;;
Vught;0865;4933;1862;1577;2751;1749;1563;913;152;427;487;27;228;24;45;46;16;12;7;12;8;8;5;1;;2;;2;;;
Waalre;0866;3263;1503;1165;1655;991;822;490;148;374;367;22;200;9;49;20;17;10;2;7;5;8;2;5;;1;;0;;;
Beek;0888;2040;1824;2138;1232;1213;636;397;65;524;276;12;272;45;40;34;14;10;1;;9;5;7;0;;0;;;;;
Beesel;0889;1566;1262;1759;804;1019;493;326;40;445;184;13;141;89;36;13;15;5;3;;3;7;3;0;;0;;;;;
Bergen (L);0893;1598;1537;1589;589;1699;372;244;38;318;165;11;120;8;26;10;9;11;1;;3;0;2;1;;0;;;;;
Brunssum;0899;2235;1953;4611;1262;3224;949;739;223;955;577;45;322;88;74;59;29;27;18;;16;12;7;5;;2;;;;;
Echt-Susteren;1711;3262;3994;4623;1761;2580;1064;659;107;1034;601;22;361;47;145;48;18;34;11;;10;5;10;2;;2;;;;;
Eijsden-Margraten;1903;3414;3491;2393;2020;1615;1176;820;104;756;482;17;410;2;44;21;20;28;3;;9;2;8;3;;2;;;;;
Gennep;0907;2276;1520;1376;1109;2325;693;511;83;281;284;11;168;64;38;19;19;9;0;;5;3;1;2;;1;;;;;
Gulpen-Wittem;1729;1703;1865;1784;922;1198;856;427;69;505;288;30;167;11;21;20;9;18;2;;8;4;6;2;;2;;;;;
Heerlen;0917;6541;4822;11773;4271;10213;3594;2044;390;2251;1881;83;932;678;162;168;93;62;37;;33;40;30;19;;16;;;;;
Horst aan de Maas;1507;5720;5886;3433;2918;3652;1444;920;150;1049;510;24;426;30;99;67;33;50;2;;13;28;5;6;;5;;;;;
Kerkrade;0928;3243;2775;7324;1617;4900;1350;1059;107;1217;816;22;460;145;66;59;33;27;6;;21;26;18;7;;5;;;;;
Landgraaf;0882;3429;2730;6130;1880;3884;1339;1011;153;1200;733;23;425;66;69;51;48;31;5;;19;11;11;7;;5;;;;;
Leudal;1640;4646;4045;3715;3770;2474;966;633;129;990;513;46;511;19;99;30;38;47;4;;20;11;14;6;;8;;;;;
Maasgouw;1641;3083;2462;2908;1551;1831;782;503;94;775;432;21;342;11;63;42;26;24;4;;10;13;5;5;;3;;;;;
Maastricht;0935;10738;7169;12477;10145;7693;7441;3618;563;2800;2593;79;1575;672;130;193;76;66;65;;54;35;35;29;;23;;;;;
