Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Terschelling;0093;1008;423;345;450;247;335;435;78;98;144;9;77;1;12;22;10;8;;2;;1;3;1;;1;;;;;
Tytsjerksteradiel;0737;3099;5099;2216;1808;2130;1526;1611;1350;557;511;234;347;5;95;47;65;40;;14;;18;2;9;;8;;;;;
Vlieland;0096;254;68;72;139;61;94;63;21;30;35;9;8;0;8;4;2;0;;0;;0;0;0;;0;;;;;
Weststellingwerf;0098;3294;2668;2384;1453;2022;1247;1301;425;604;459;83;266;43;55;50;27;25;;16;;116;6;3;;3;;;;;
Aa en Hunze;1680;4268;1740;1681;2163;1937;1534;1830;345;612;546;58;246;3;59;45;25;82;;22;;9;5;3;;2;;;;;
Assen;0106;6993;4834;4193;5221;5050;4355;3851;3536;1152;1299;332;681;215;136;167;71;52;;40;;41;16;34;;10;;;;;
Borger-Odoorn;1681;3280;2197;2520;1524;2434;1087;1490;652;612;469;124;338;0;57;47;22;25;;46;;22;7;6;;4;;;;;
Coevorden;0109;5123;3839;3229;2100;2646;1333;1987;582;840;465;174;381;19;93;42;29;26;;18;;14;3;15;;1;;;;;
De Wolden;1690;4452;3024;1527;1592;1200;959;1117;600;572;388;180;286;3;50;23;21;26;;20;;10;4;3;;6;;;;;
Emmen;0114;9869;9455;12418;5367;10227;4304;5627;1953;3008;1412;328;1518;324;237;144;115;101;;80;;54;27;12;;8;;;;;
Hoogeveen;0118;5385;6958;5307;2394;4292;1812;1993;2423;1194;582;693;720;147;135;70;45;49;;31;;14;6;6;;1;;;;;
Meppel;0119;4590;2893;2159;2486;2396;1928;1614;1242;682;586;108;360;168;74;56;46;35;;14;;23;9;1;;7;;;;;
Midden-Drenthe;1731;4555;3871;2466;2194;2422;1574;2007;902;807;523;215;411;9;82;43;20;40;;26;;19;12;10;;1;;;;;
Noordenveld;1699;4441;2597;2270;2622;2062;2082;2180;851;643;617;98;313;1;48;41;32;34;;37;;11;5;5;;2;;;;;
Tynaarlo;1730;5283;2509;1761;3401;1861;2485;2181;986;573;702;70;284;9;57;62;22;31;;52;;8;8;6;;5;;;;;
Westerveld;1701;3316;1775;1267;1348;1217;1093;1252;377;483;518;80;206;2;56;23;20;20;;5;;11;6;5;;4;;;;;
Almelo;0141;7503;6518;7520;4049;4595;2734;2389;1378;1265;886;216;688;1855;147;130;49;49;18;25;31;11;17;7;;;;;;;
Borne;0147;3420;3576;1639;1839;1506;952;775;233;347;248;33;245;53;51;47;15;11;0;11;5;4;4;1;;;;;;;
Dalfsen;0148;3620;5958;1462;1574;1258;800;797;1653;461;306;456;235;3;68;31;17;24;6;11;4;7;9;6;;;;;;;
Deventer;0150;11349;6266;6522;9095;6379;7337;5123;1632;1810;2218;189;780;2279;188;230;78;56;38;42;43;48;40;16;;;;;;;
Dinkelland;1774;4452;6560;1975;1466;1093;594;554;92;374;186;28;205;7;37;26;8;11;0;13;6;8;1;1;;;;;;;
Enschede;0153;15236;11163;14331;12362;10653;8574;5837;3231;2124;2551;376;1690;2774;326;581;77;96;59;66;57;36;55;22;;;;;;;
Haaksbergen;0158;3825;3916;1792;1736;1586;796;814;171;472;253;32;247;248;58;29;11;17;2;5;3;4;11;5;;;;;;;
Hardenberg;0160;6705;9959;4347;2661;3351;1551;1710;4936;1168;522;764;640;30;134;74;34;56;9;30;15;16;15;10;;;;;;;
Hellendoorn;0163;4622;7287;2498;2113;2239;1292;1063;1168;598;375;192;301;37;51;36;25;25;4;25;12;15;5;3;;;;;;;
Hengelo;0164;9521;8438;6180;6532;6599;4113;3182;1240;1181;1328;143;873;1015;186;173;66;50;27;28;32;23;16;21;;;;;;;
Hof van Twente;1735;6210;5851;2466;2560;1956;1200;1458;318;590;354;108;346;126;83;54;19;20;4;15;9;6;7;3;;;;;;;
